meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1239,9550,63,295,225,298,2024-06-30T13:04:16.930000+00:00,70.58,False,17.469,31.731,21.38,"[2049, 2051, 2049, 2049, 2048, 2048]","[2048, 2049, 2048, 2048, 2049, 2048, 2048]","[2049, 2049, 2048, 2049, 2049, 2048, 2048]",2
1239,9550,63,287,224,308,2024-06-30T13:05:27.617000+00:00,70.441,False,17.801,31.483,21.157,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2049, 2048, 2049]","[2049, 2048, 2051, 2048, 2048, 2048, 2048]",3
1239,9550,63,294,224,294,2024-06-30T13:07:48.445000+00:00,70.193,False,17.61,31.332,21.251,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",5
1239,9550,63,298,219,285,2024-06-30T13:08:58.691000+00:00,71.033,False,17.616,31.962,21.455,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",6
1239,9550,63,,230,294,2024-06-30T13:10:09.738000+00:00,70.682,False,17.624,31.646,21.412,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",7
1239,9550,63,,228,290,2024-06-30T13:11:20.410000+00:00,70.655,False,17.696,31.695,21.264,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",8
1239,9550,63,296,228,289,2024-06-30T13:06:37.994000+00:00,70.467,False,17.555,31.631,21.281,"[2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2049, 2048, 2051, 2049, 2048, 2048, 2048]",4
1239,9550,63,302,230,294,2024-06-30T13:16:04.220000+00:00,71.135,False,17.76,31.876,21.499,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",12
1239,9550,63,300,231,292,2024-06-30T13:18:26.738000+00:00,71.44,False,17.797,32.072,21.571,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",14
1239,9550,63,299,229,293,2024-06-30T13:12:31.084000+00:00,70.628,False,17.626,31.611,21.391,"[2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",9
1239,9550,63,300,228,291,2024-06-30T13:13:41.617000+00:00,71.263,False,17.717,32.021,21.525,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",10
1239,9550,63,299,228,295,2024-06-30T13:17:15.383000+00:00,71.321,False,17.788,32.033,21.5,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",13
1239,9550,63,298,226,288,2024-06-30T13:14:52.881000+00:00,71.281,False,17.754,32.018,21.509,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",11
1239,9550,63,299,225,293,2024-06-30T13:25:35.281000+00:00,71.531,False,17.854,32.068,21.609,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",20
1239,9550,63,298,228,296,2024-06-30T13:23:12.511000+00:00,71.297,False,17.786,32.03,21.481,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",18
1239,9550,63,,225,294,2024-06-30T13:27:58.455000+00:00,75.077,False,17.891,32.111,25.075,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2051, 2049, 2051, 2051]",22
1239,9550,63,301,228,292,2024-06-30T13:19:38.150000+00:00,71.471,False,17.784,32.044,21.643,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",15
1239,9550,63,300,228,292,2024-06-30T13:20:49.544000+00:00,71.382,False,17.831,31.915,21.636,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",16
1239,9550,63,297,229,295,2024-06-30T13:22:00.965000+00:00,71.459,False,17.824,31.93,21.705,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",17
1239,9550,63,295,227,290,2024-06-30T13:24:23.717000+00:00,71.569,False,17.794,32.113,21.662,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",19
1239,9550,63,,227,288,2024-06-30T13:32:59.665000+00:00,70.037,False,17.439,31.487,21.111,"[None, 2048, 2048, 2049, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048]",26
1239,9550,63,296,229,291,2024-06-30T13:35:19.630000+00:00,70.085,False,17.595,31.509,20.981,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2051, 2048, 2048, 2048]",28
1239,9550,63,298,229,292,2024-06-30T13:36:29.648000+00:00,70.157,False,17.655,31.468,21.034,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",29
1239,9550,63,299,228,292,2024-06-30T13:34:09.655000+00:00,69.864,False,17.471,31.355,21.038,"[None, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2049]",27
1239,9550,63,301,230,301,2024-06-30T13:41:10.232000+00:00,70.093,False,17.548,31.446,21.099,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",33
1239,9550,63,299,228,297,2024-06-30T13:39:59.885000+00:00,70.219,False,17.634,31.544,21.041,"[2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",32
1239,9550,63,,231,297,2024-06-30T13:38:50.073000+00:00,69.936,False,17.553,31.435,20.948,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",31
1239,9550,63,300,231,295,2024-06-30T13:37:39.899000+00:00,70.18,False,17.608,31.483,21.089,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2049, 2048, 2048, 2048, 2048]",30
1239,9550,63,306,231,305,2024-06-30T13:44:41.113000+00:00,70.598,False,17.64,31.72,21.238,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",36
1239,9550,63,296,230,295,2024-06-30T13:42:20.280000+00:00,70.26,False,17.611,31.524,21.125,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2049, 2048, 2048]",34
1239,9550,63,301,230,305,2024-06-30T13:43:30.564000+00:00,70.524,False,17.663,31.673,21.188,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2051]",35
1239,9550,63,299,230,298,2024-06-30T13:48:12.782000+00:00,70.724,False,17.624,31.906,21.194,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",39
1239,9550,63,300,228,299,2024-06-30T13:47:02.189000+00:00,70.64,False,17.644,31.805,21.191,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",38
1239,9550,63,299,231,298,2024-06-30T13:45:51.664000+00:00,70.506,False,17.538,31.715,21.253,"[2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",37
1239,9550,63,295,231,298,2024-06-30T13:49:23.468000+00:00,70.761,False,17.675,31.741,21.345,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",40
1239,9550,63,303,225,302,2024-06-30T13:50:34.228000+00:00,71.167,False,17.743,31.973,21.451,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",41
