session_key,meeting_key,driver_number,date,position
9540,1239,1,2024-06-28T10:16:53.192000+00:00,1
9540,1239,1,2024-06-28T10:35:34.221000+00:00,1
9540,1239,1,2024-06-28T10:40:24.265000+00:00,1
9540,1239,1,2024-06-28T11:25:18.678000+00:00,1
9545,1239,1,2024-06-28T14:19:26.696000+00:00,1
9545,1239,1,2024-06-28T14:37:26.282000+00:00,1
9545,1239,1,2024-06-28T15:12:14.957000+00:00,1
9545,1239,1,2024-06-28T15:13:43.384000+00:00,1
9545,1239,1,2024-06-28T15:14:48.233000+00:00,1
9549,1239,1,2024-06-29T09:17:44.192000+00:00,1
9541,1239,1,2024-06-29T13:46:51.100000+00:00,1
9541,1239,1,2024-06-29T14:09:03.479000+00:00,1
9541,1239,1,2024-06-29T14:31:05.124000+00:00,1
9541,1239,1,2024-06-29T14:49:53.320000+00:00,1
9541,1239,1,2024-06-29T14:52:36.877000+00:00,1
9550,1239,1,2024-06-30T12:07:38.634000+00:00,1
9550,1239,1,2024-06-30T13:32:51.037000+00:00,1
9540,1239,1,2024-06-28T10:16:53.192000+00:00,1
9540,1239,1,2024-06-28T10:32:38.314000+00:00,2
9540,1239,1,2024-06-28T10:35:34.221000+00:00,1
9540,1239,1,2024-06-28T10:35:42.269000+00:00,2
9540,1239,1,2024-06-28T10:40:24.265000+00:00,1
9540,1239,1,2024-06-28T10:40:28.765000+00:00,2
9540,1239,1,2024-06-28T11:25:18.678000+00:00,1
9545,1239,1,2024-06-28T14:19:26.696000+00:00,1
9545,1239,1,2024-06-28T14:32:59.573000+00:00,2
9545,1239,1,2024-06-28T14:37:26.282000+00:00,1
9545,1239,1,2024-06-28T15:11:24.967000+00:00,2
9545,1239,1,2024-06-28T15:12:14.957000+00:00,1
9545,1239,1,2024-06-28T15:12:57.418000+00:00,2
9545,1239,1,2024-06-28T15:13:43.384000+00:00,1
9545,1239,1,2024-06-28T15:14:02.577000+00:00,2
9545,1239,1,2024-06-28T15:14:48.233000+00:00,1
9549,1239,1,2024-06-29T09:17:44.192000+00:00,1
9541,1239,1,2024-06-29T13:46:51.100000+00:00,1
9541,1239,1,2024-06-29T14:03:36.064000+00:00,2
9541,1239,1,2024-06-29T14:09:03.479000+00:00,1
9541,1239,1,2024-06-29T14:09:18.334000+00:00,2
9541,1239,1,2024-06-29T14:31:05.124000+00:00,1
9541,1239,1,2024-06-29T14:48:53.599000+00:00,2
9541,1239,1,2024-06-29T14:49:53.320000+00:00,1
9541,1239,1,2024-06-29T14:50:25.541000+00:00,2
9541,1239,1,2024-06-29T14:51:32.394000+00:00,2
9541,1239,1,2024-06-29T14:52:36.877000+00:00,1
9550,1239,1,2024-06-30T12:07:38.634000+00:00,1
9550,1239,1,2024-06-30T13:31:39.116000+00:00,2
9550,1239,1,2024-06-30T13:32:51.037000+00:00,1
9550,1239,1,2024-06-30T14:18:59.527000+00:00,2
9540,1239,1,2024-06-28T10:16:53.192000+00:00,1
9540,1239,1,2024-06-28T10:32:38.314000+00:00,2
9540,1239,1,2024-06-28T10:32:51.500000+00:00,3
9540,1239,1,2024-06-28T10:35:34.221000+00:00,1
9540,1239,1,2024-06-28T10:35:42.269000+00:00,2
9540,1239,1,2024-06-28T10:36:09.188000+00:00,3
9540,1239,1,2024-06-28T10:40:24.265000+00:00,1
9540,1239,1,2024-06-28T10:40:28.765000+00:00,2
9540,1239,1,2024-06-28T10:43:55.402000+00:00,3
9540,1239,1,2024-06-28T11:25:18.678000+00:00,1
9545,1239,1,2024-06-28T14:19:26.696000+00:00,1
9545,1239,1,2024-06-28T14:32:59.573000+00:00,2
9545,1239,1,2024-06-28T14:33:02.019000+00:00,3
9545,1239,1,2024-06-28T14:37:26.282000+00:00,1
9545,1239,1,2024-06-28T15:11:24.967000+00:00,2
9545,1239,1,2024-06-28T15:11:32.666000+00:00,3
9545,1239,1,2024-06-28T15:12:14.957000+00:00,1
9545,1239,1,2024-06-28T15:12:57.418000+00:00,2
9545,1239,1,2024-06-28T15:13:06.223000+00:00,3
9545,1239,1,2024-06-28T15:13:43.384000+00:00,1
9545,1239,1,2024-06-28T15:14:02.577000+00:00,2
9545,1239,1,2024-06-28T15:14:11.218000+00:00,3
9545,1239,1,2024-06-28T15:14:48.233000+00:00,1
9549,1239,1,2024-06-29T09:17:44.192000+00:00,1
9541,1239,1,2024-06-29T13:46:51.100000+00:00,1
9541,1239,1,2024-06-29T14:03:36.064000+00:00,2
9541,1239,1,2024-06-29T14:03:46.872000+00:00,3
9541,1239,1,2024-06-29T14:09:03.479000+00:00,1
9541,1239,1,2024-06-29T14:09:18.334000+00:00,2
9541,1239,1,2024-06-29T14:11:20.267000+00:00,3
9541,1239,1,2024-06-29T14:31:05.124000+00:00,1
9541,1239,1,2024-06-29T14:48:53.599000+00:00,2
9541,1239,1,2024-06-29T14:49:03.452000+00:00,3
9541,1239,1,2024-06-29T14:49:53.320000+00:00,1
9541,1239,1,2024-06-29T14:50:25.541000+00:00,2
9541,1239,1,2024-06-29T14:50:37.263000+00:00,3
9541,1239,1,2024-06-29T14:51:32.394000+00:00,2
9541,1239,1,2024-06-29T14:51:45.375000+00:00,3
9541,1239,1,2024-06-29T14:52:36.877000+00:00,1
9550,1239,1,2024-06-30T12:07:38.634000+00:00,1
